País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Bolivia	";El demonio guardián de las minas El Tío;El doble espiritual Chullachaqui;El hombre oso Jucumari;La viuda fantasmal;El ladrón de grasa El Kari Kari;La plata maldita del Cerro Rico de Potosí;La ciudad sumergida en el Lago Titicaca;Las ruinas alienígenas de Tiahuanaco;El oro de las misiones jesuíticas de Chiquitos;El portal estelar de la Puerta del Sol;¿Qué lago comparten con Perú?; ¿Cuál es su capital?; ¿Qué cordillera la cruza?; ¿Qué idioma se habla?; ¿Qué desierto famoso hay?;Titicaca; La Paz; Andes; Español; Salar de Uyuni;Victoria; Roma; Alpes; Inglés; Sahara;Baikal; Madrid; Himalaya; Francés; Gobi;Su capital más conocida es La Paz; Tiene un desierto blanco de sal llamado Uyuni; Allí está el lago Titicaca; Sus bailarines usan máscaras de diablos en carnavales; Tiene montañas muy altas de los Andes;No has podido salir del país porque las cebras que ayudan a cruzar la calle en La Paz se han puesto en huelga.; No has podido salir del país porque tu autobús está atrapado en un combate de lucha libre de cholitas.; No has podido salir del país porque lamiste el Salar de Uyuni y se te ha quedado la lengua pegada.; No has podido salir del país porque una llama te ha retado a una carrera y vas perdiendo.; No has podido salir del país porque el jersey de Evo Morales está bloqueando la pista de despegue.
"Bosnia y Herzegovina	";El gritón aterrador Drekavac;El hada de la montaña Vila;El hombre con cabeza de perro Psoglav;La bruja nocturna Babaroga;El vampiro Lampir;El alma del Puente de Mostar;El Haggadah perdido de Sarajevo;El enigma de las lápidas Ste?ci;El Tesoro oculto de la Nación;El secreto de las pirámides bosnias;¿Qué río pasa por Sarajevo?; ¿Cuál es su capital?; ¿Qué mar toca?; ¿Qué idioma se habla?; ¿Qué paisaje es común?;Miljacka; Sarajevo; Adriático; Bosnio; Montañas;Danubio; Roma; Mediterráneo; Inglés; Desiertos;Amazonas; Madrid; Negro; Alemán; Glaciares;Su capital es Sarajevo; Tiene un puente famoso llamado Stari Most; Allí se celebran festivales de cine; Sus casas tienen techos rojos; Tiene montañas donde se esquía;No has podido salir del país porque el puente de Mostar está cerrado por la competición anual de saltos y eres el juez principal.; No has podido salir del país porque estás atrapado en una sesión de café (?ejf) amistosa pero interminable.; No has podido salir del país porque las palomas de Baš?aršija han robado tus documentos para construir un nido.; No has podido salir del país porque estás intentando encontrar el final de un burek.; No has podido salir del país porque te han invitado a tres bodas diferentes en un día y es de mala educación negarse.
"Botsuana	";El duende maligno Tikoloshe;La serpiente de agua Mamlambo;La serpiente del trueno Inkanyamba;La bestia híbrida Grootslang;El murciélago demonio Popobawa;Los diamantes estelares del Kalahari;El mapa celestial de las colinas de Tsodilo;El laberinto de agua del delta del Okavango;Los secretos del pueblo San;Las minas prohibidas de Orapa;¿Qué delta famoso tiene?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué animal vive allí: elefante; oso polar o pingüino?;Okavango; Gaborone; Inglés; Elefante; Kalahari;Amazonas; Roma; Español; Oso polar; Sahara;Danubio; Madrid; Alemán; Pingüino; Gobi;Su capital es Gaborone; El río Okavango forma un gran delta lleno de animales; Se pueden ver elefantes en manadas enormes; Sus paisajes aparecen en muchos documentales; Tienen danzas tradicionales con tambores;No has podido salir del país porque un elefante está sentado en la pista y nadie se atreve a pedirle que se mueva.; No has podido salir del país porque estás esperando a que el delta del Okavango se inunde para poder salir en mokoro.; No has podido salir del país porque te ha adoptado un clan de suricatos y ahora eres su vigía designado.; No has podido salir del país porque los leones han decidido que tu avión parece una cebra sabrosa.; No has podido salir del país porque un bosquimano san te ha demandado por robarle su idioma basado en clics.
"Brasil	";El duende de una pierna Saci Pererê;La bruja caimán Cuca;La Mula sin Cabeza;El protector de la selva Curupira;La serpiente de fuego Boitatá;El oro de la Serpiente Dorada de Minas Gerais;El tesoro perdido de los jesuitas;La isla fantasma del tesoro de la Trindade;Los diamantes malditos de la Chapada Diamantina;El botín de la rebelión de Tiradentes;¿Qué selva enorme cubre gran parte del país?; ¿Cuál es su capital?; ¿Qué río la cruza?; ¿Qué idioma se habla?; ¿Qué fiesta famosa hay?;Amazonia; Brasilia; Amazonas; Portugués; Carnaval;Taiga; Roma; Nilo; Español; San Fermín;Sabana; Madrid; Rin; Inglés; Oktoberfest;Su capital es Brasilia; En Río de Janeiro hay un Cristo gigante en una montaña; Celebran el carnaval con disfraces y música; El Amazonas es el bosque más grande del mundo; Allí se juega mucho al fútbol;No has podido salir del país porque el Carnaval ha empezado 11 meses antes y ha bloqueado todas las salidas.; No has podido salir del país porque unos niños de 5 años te han retado a un partido de fútbol playa y no puedes irte hasta que marques un gol.; No has podido salir del país porque un carpincho se ha sentado tranquilamente en tu mochila y no quieres molestarlo.; No has podido salir del país porque te has perdido en el Amazonas y un tucán se ha convertido en tu único amigo.;" No has podido salir del país porque intentabas irte pero alguien gritó ""¡caipirinha!"" y tuviste que darte la vuelta."
"Brunéi	";El hombre aceitoso Orang Minyak;La mujer vampiro Pontianak;El infante ladrón Toyol;El fantasma alargado Hantu Galah;La cabeza voladora Penanggalan;El tesoro del Sultán de Brunéi;La Mezquita dorada de Omar Ali Saifuddin;La ciudad flotante de Kampong Ayer;El oro negro de Borneo;El palacio de las mil habitaciones de Nurul Iman;¿Qué tipo de bosques cubren el país?; ¿Cuál es su capital?; ¿Qué mar toca?; ¿Qué idioma se habla?; ¿Qué recurso natural tiene?;Selvas tropicales; Bandar Seri Begawan; de la China Meridional; Malayo; Petróleo;Desiertos; Roma; Rojo; Inglés; Oro;Glaciares; Madrid; Mediterráneo; Francés; Diamantes;Su capital es Bandar Seri Begawan; Tiene un palacio gigante del sultán; Sus mezquitas tienen cúpulas de oro; Gran parte del país es selva tropical; Su costa está llena de manglares;No has podido salir del país porque el Sultán te ha invitado a tomar el té y la conversación ya va por el quinto día.; No has podido salir del país porque estás esperando a que pulan tu coche de alquiler chapado en oro.; No has podido salir del país porque entraste por error en el palacio real y ahora formas parte del servicio.; No has podido salir del país porque estás contando las habitaciones del palacio Istana Nurul Iman y has perdido la cuenta.; No has podido salir del país porque un mono narigudo se ha enamorado de tu nariz.
"Bulgaria	";El ritual del monstruo Kuker;La ninfa del bosque Samodiva;El dragón eslavo Zmei;El demonio nocturno Karakondzhul;El fantasma de la muerte Navi;El oro de los reyes tracios;El Tesoro de Panagyurishte de los dioses;El oro más antiguo del mundo de Varna;Los manuscritos perdidos de la escuela de Preslav;El enigma del Jinete de Madara;¿Qué montañas recorren el país?; ¿Cuál es su capital?; ¿Qué río pasa al norte?; ¿Qué idioma se habla?; ¿Qué mar toca?;Balcanes; Sofía; Danubio; Búlgaro; Negro;Pirineos; Roma; Amazonas; Inglés; Rojo;Alpes; Madrid; Rin; Alemán; Adriático;Su capital es Sofía; Tiene un monasterio famoso llamado Rila; Allí se hace yogur muy sabroso; Sus danzas tradicionales son en círculo; Tienen rosas que usan para hacer perfumes;No has podido salir del país porque un grupo de bailarines Kukeri ha asustado a los pilotos.; No has podido salir del país porque estás en un concurso de cata de yogur y vas en primer lugar.;" No has podido salir del país porque asentiste con la cabeza para decir ""no"" y aceptaste accidentalmente quedarte un año más."; No has podido salir del país porque un oso del parque de osos bailarines te ha retado a un duelo de baile.; No has podido salir del país porque tu coche está atrapado en un campo de rosas durante la cosecha.
"Burkina Faso	";El espíritu de la naturaleza Zin;El genio del monte Fadiga;El demonio de dos caras Kishi;El espíritu del viento Wambi;La criatura del bosque Biloko;Las máscaras vivientes del pueblo Mossi;El oro del río Volta Negro;Las ruinas de la fortaleza de Loropéni;La ciudad pintada de Tiébélé;El cetro perdido del Imperio Mossi;¿Qué clima predomina allí?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué río cruza el país?; ¿Qué animal típico vive allí?;Sabana; Uagadugú; Francés; Volta; León;Desierto polar; Roma; Español; Amazonas; Oso polar;Selva húmeda; Madrid; Inglés; Danubio; Canguro;Su capital es Uagadugú; Sus máscaras de madera se usan en fiestas; Allí hay elefantes y cocodrilos; Sus pueblos tienen casas de barro pintadas; Se hacen tambores para bailar;No has podido salir del país porque el festival de cine FESPACO ha declarado tu vídeo de las vacaciones una obra maestra.; No has podido salir del país porque estás atrapado en un atasco de carros tirados por caballos en Bobo-Dioulasso.; No has podido salir del país porque estás ayudando a volver a dorar la Gran Mezquita de Bani.; No has podido salir del país porque un griot está contando la historia de tu vida y se está haciendo muy larga.; No has podido salir del país porque estás negociando la compra de un nuevo nombre en el mercado.
"Burundi	";El espíritu de la realeza Kiranga;El dios creador Imana;El héroe divino Ryangombe;La reina espiritual Nyabingi;El espíritu del trueno Lyangombe;Los tambores sagrados que hablan de Burundi;El secreto de los reyes (mwami);El santuario de los tamborileros de Gishora;El mapa de la fuente perdida del Nilo;Las minas de níquel de Musongati;¿Qué lago grande toca Burundi?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué paisaje tiene?; ¿Qué animal vive allí?;Tanganica; Gitega; Kirundi; Montañas; Hipopótamo;Victoria; Roma; Español; Desiertos; Reno;Baikal; Madrid; Alemán; Glaciares; Oso polar;Su capital es Gitega; El lago Tanganica es enorme y profundo; Sus tambores tradicionales son muy famosos; Hay colinas verdes por todas partes; Es un país muy pequeño;No has podido salir del país porque los tamborileros reales han iniciado un ritmo tan contagioso que ningún avión puede despegar.; No has podido salir del país porque un hipopótamo amistoso te bloquea el camino al aeropuerto.; No has podido salir del país porque te han retado a una partida de urubugu y estás decidido a ganar.; No has podido salir del país porque los trabajadores de la plantación de té te han confundido con un nuevo espantapájaros.; No has podido salir del país porque estás esperando a que los bailarines Agasimbo terminen su rutina acrobática sobre tu maleta.
"Bután	";El dragón del trueno Druk;El abominable hombre de las nieves Yeti;El espíritu maligno Gdon;La demonia caníbal Srin mo;La deidad celestial Lha;El Monasterio del Nido del Tigre;Los textiles que predicen el futuro;La fórmula de la Felicidad Nacional Bruta;Los manuscritos tántricos prohibidos;Las fortalezas del dragón o 'dzongs';¿Qué cordillera está en Bután?; ¿Cuál es su capital?; ¿Qué animal vive en esas montañas?; ¿Qué idioma se habla?; ¿Qué clima predomina?;Himalaya; Timbu; Yak; Dzongkha; Frío de montaña;Andes; Roma; León; Español; Desierto;Alpes; Madrid; Reno; Alemán; Tropical;Su capital es Timbu; Tiene templos en las montañas llamados dzongs; Allí está el Nido del Tigre; Miden la felicidad de su pueblo; Sus montañas son parte del Himalaya;No has podido salir del país porque tu índice de Felicidad Nacional Bruta es demasiado bajo para la salida.; No has podido salir del país porque un dragón ha sido avistado en la pista y el aeropuerto está cerrado por limpieza espiritual.; No has podido salir del país porque estás atrapado en un paso de montaña detrás de un monje meditando.; No has podido salir del país porque tu visado se ha reencarnado en un yak.; No has podido salir del país porque el Monasterio del Nido del Tigre ha decidido convertirse temporalmente en un nido de tigre literal.
"Cabo Verde	";La bruja Cuca;El demonio de la envidia Canhoto;El espíritu isleño Jumbee;La seductora La Diablesse;El padre del bosque Papa Bois;El tesoro de los barcos negreros hundidos;El alma de la Morna;La ciudadela perdida de Cidade Velha;El corazón del volcán de Fogo;Las arenas susurrantes de Boa Vista;¿Qué tipo de territorio es?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué océano lo rodea?; ¿Qué paisaje natural abunda?;Islas; Praia; Portugués; Atlántico; Volcanes;Montañas; Roma; Español; Pacífico; Desiertos;Desiertos; Madrid; Francés; Índico; Glaciares;Su capital es Praia; Son islas con playas de arena negra y blanca; Allí se canta morna; Tienen volcanes como el Pico do Fogo; Hay barcos pesqueros de colores;No has podido salir del país porque la música morna es tan melancólica que el piloto está demasiado triste para volar.; No has podido salir del país porque una tortuga marina ha puesto sus huevos en la pista de despegue.; No has podido salir del país porque estás esperando a que una erupción volcánica cree una nueva isla para visitar.; No has podido salir del país porque la cachupa tarda tres días en cocinarse y tienes que quedarte para la cata final.;" No has podido salir del país porque has caído en un bucle de ""sodade"" y no encuentras la voluntad de irte."
"Camboya	";El dios serpiente N?ga;El hombre pájaro Garuda;La cabeza voladora Krasue;El demonio de la naturaleza Yaksha;Los bueyes sagrados Preah Ko Preah Keo;La ciudad perdida de Angkor Wat;El tesoro de oro del Imperio Jemer;La ciudadela de Jayavarman VII;Las joyas de la corona de Camboya;El Buda de Esmeralda;¿Qué templo famoso hay en Camboya?; ¿Cuál es su capital?; ¿Qué río la cruza?; ¿Qué idioma se habla?; ¿Qué selva tiene?;Angkor Wat; Nom Pen; Mekong; Jemer; Tropical;Coliseo; Roma; Amazonas; Español; Desierto;Petra; Madrid; Danubio; Inglés; Glaciar;Su capital es Nom Pen; Allí está el templo de Angkor Wat con torres como piñas; Tienen un lago enorme llamado Tonlé Sap; Celebran el Año Nuevo en abril con agua; Sus danzas llevan trajes brillantes;No has podido salir del país porque los monos de Angkor Wat han formado un sindicato y exigen tus snacks como peaje.; No has podido salir del país porque estás en un atasco de tuk-tuk causado por una sola vaca.; No has podido salir del país porque te sentaste accidentalmente en el trono del rey y ahora eres el nuevo gobernante.; No has podido salir del país porque estás esperando a que el Naga de siete cabezas te dé permiso para cruzar el río.; No has podido salir del país porque sigues intentando contar todas las caras del templo de Bayon.
